Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
133,Eliminated,0,0,8,3,10,42.0%,50,4.32,90.0%,62.0%,56.0%,56.0%,42.0%,-,-,-,-,-,-
134,Eliminated,0,5,2,2,2,42.0%,50,7.18,70.0%,66.0%,54.0%,52.0%,42.0%,-,-,-,-,-,-
135,Eliminated,10,10,8,2,6,42.0%,50,16.14,80.0%,52.0%,52.0%,58.0%,42.0%,-,-,-,-,-,-
136,Eliminated,15,10,4,3,6,42.0%,50,15.78,82.0%,56.0%,56.0%,54.0%,42.0%,-,-,-,-,-,-
137,Eliminated,15,15,8,3,10,42.0%,50,19.02,90.0%,56.0%,54.0%,52.0%,42.0%,-,-,-,-,-,-
138,Eliminated,15,15,10,3,6,42.0%,50,18.20,82.0%,54.0%,70.0%,54.0%,42.0%,-,-,-,-,-,-
139,Eliminated,15,20,6,3,6,42.0%,50,18.80,78.0%,72.0%,54.0%,58.0%,42.0%,-,-,-,-,-,-
140,Eliminated,20,15,8,2,6,42.0%,50,18.70,82.0%,54.0%,58.0%,52.0%,42.0%,-,-,-,-,-,-
141,Eliminated,0,10,8,3,2,40.0%,50,11.02,74.0%,58.0%,66.0%,56.0%,40.0%,-,-,-,-,-,-
142,Eliminated,0,10,10,3,4,40.0%,50,11.08,76.0%,58.0%,56.0%,54.0%,40.0%,-,-,-,-,-,-
143,Eliminated,0,15,8,3,4,40.0%,50,12.48,76.0%,66.0%,50.0%,54.0%,40.0%,-,-,-,-,-,-
144,Eliminated,5,10,6,3,10,40.0%,50,16.08,84.0%,56.0%,58.0%,52.0%,40.0%,-,-,-,-,-,-
145,Eliminated,5,10,8,3,8,40.0%,50,17.18,88.0%,62.0%,60.0%,62.0%,40.0%,-,-,-,-,-,-
146,Eliminated,10,5,6,2,10,40.0%,50,14.12,88.0%,62.0%,56.0%,54.0%,40.0%,-,-,-,-,-,-
147,Eliminated,15,15,10,3,8,40.0%,50,18.78,88.0%,64.0%,52.0%,62.0%,40.0%,-,-,-,-,-,-
148,Eliminated,20,10,8,3,8,40.0%,50,17.16,94.0%,54.0%,58.0%,52.0%,40.0%,-,-,-,-,-,-
149,Eliminated,20,20,4,2,8,40.0%,50,17.94,80.0%,56.0%,60.0%,58.0%,40.0%,-,-,-,-,-,-
150,Eliminated,0,0,4,2,8,38.0%,50,4.22,82.0%,58.0%,52.0%,50.0%,38.0%,-,-,-,-,-,-
151,Eliminated,5,5,4,3,4,38.0%,50,10.72,82.0%,52.0%,56.0%,52.0%,38.0%,-,-,-,-,-,-
152,Eliminated,15,5,6,2,4,38.0%,50,11.72,94.0%,76.0%,62.0%,58.0%,38.0%,-,-,-,-,-,-
153,Eliminated,5,0,2,2,10,36.0%,50,5.68,98.0%,54.0%,68.0%,54.0%,36.0%,-,-,-,-,-,-
154,Eliminated,10,10,4,3,10,36.0%,50,16.44,76.0%,62.0%,62.0%,62.0%,36.0%,-,-,-,-,-,-
155,Eliminated,10,15,8,3,8,36.0%,50,19.66,88.0%,56.0%,54.0%,56.0%,36.0%,-,-,-,-,-,-
156,Eliminated,20,5,6,3,4,36.0%,50,11.92,94.0%,56.0%,60.0%,54.0%,36.0%,-,-,-,-,-,-
157,Eliminated,15,15,10,3,4,35.3%,51,15.33,74.0%,62.0%,56.0%,60.0%,35.3%,-,-,-,-,-,-
158,Eliminated,10,0,0,1,4,34.0%,50,5.24,82.0%,58.0%,56.0%,54.0%,34.0%,-,-,-,-,-,-
159,Eliminated,10,5,6,2,4,34.0%,50,11.60,88.0%,60.0%,60.0%,52.0%,34.0%,-,-,-,-,-,-
160,Eliminated,10,15,10,3,10,34.0%,50,18.14,82.0%,62.0%,54.0%,56.0%,34.0%,-,-,-,-,-,-
161,Eliminated,20,10,10,2,4,34.0%,50,16.08,80.0%,54.0%,54.0%,58.0%,34.0%,-,-,-,-,-,-
162,Eliminated,5,20,8,3,8,32.0%,50,16.40,86.0%,68.0%,58.0%,56.0%,32.0%,-,-,-,-,-,-
163,Eliminated,5,20,8,3,10,32.0%,50,15.68,84.0%,58.0%,54.0%,58.0%,32.0%,-,-,-,-,-,-
164,Eliminated,10,15,4,2,8,32.0%,50,17.12,80.0%,54.0%,56.0%,56.0%,32.0%,-,-,-,-,-,-
165,Eliminated,20,15,8,3,8,32.0%,50,18.06,82.0%,58.0%,62.0%,54.0%,32.0%,-,-,-,-,-,-
166,Eliminated,10,20,6,3,8,30.0%,50,18.44,82.0%,60.0%,54.0%,66.0%,30.0%,-,-,-,-,-,-
167,Eliminated,0,10,2,2,2,26.0%,50,11.28,80.0%,58.0%,54.0%,52.0%,26.0%,-,-,-,-,-,-
168,Eliminated,0,20,6,3,6,24.0%,50,14.40,76.0%,56.0%,56.0%,54.0%,24.0%,-,-,-,-,-,-
169,Eliminated,0,10,10,3,6,50.0%,50,10.00,82.0%,56.0%,54.0%,50.0%,-,-,-,-,-,-,-
